year,division,station,station_code,offence_code,offence_category,offence_group,incident_count
2006,DMR East Division,Dun Laoghaire,65203,16,Offences not elsewhere classified (16),Offences not elsewhere classified,10
2006,DMR East Division,Shankill,65205,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",55
2006,DMR East Division,Shankill,65205,04,Dangerous or negligent acts (04),Dangerous or negligent acts,193
2006,DMR East Division,Shankill,65205,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2006,DMR East Division,Shankill,65205,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",21
2006,DMR East Division,Shankill,65205,07,Burglary and related offences (07),Burglary and related offences,202
2006,DMR East Division,Shankill,65205,08,Theft and related offences (08),Theft and related offences,425
2006,DMR East Division,Shankill,65205,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",7
2006,DMR East Division,Shankill,65205,10,Controlled drug offences (10),Controlled drug offences,59
2006,DMR East Division,Shankill,65205,11,Weapons and explosives offences (11),Weapons and explosives offences,11
2006,DMR East Division,Shankill,65205,12,Damage to property and to the environment  offences (12),Damage to property & environment,324
2006,DMR East Division,Shankill,65205,13,Public order and other social code offences (13),Public order & social code offences,214
2006,DMR East Division,Shankill,65205,14,Road and traffic offences (14),Road and traffic offences,419
2006,DMR East Division,Shankill,65205,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",23
2006,DMR East Division,Shankill,65205,16,Offences not elsewhere classified (16),Offences not elsewhere classified,1
2006,DMR West Division,Blanchardstown,66101,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",218
2006,DMR West Division,Blanchardstown,66101,04,Dangerous or negligent acts (04),Dangerous or negligent acts,1032
2006,DMR West Division,Blanchardstown,66101,05,Kidnapping and related offences (05),Kidnapping and related offences,2
2006,DMR West Division,Blanchardstown,66101,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",154
2006,DMR West Division,Blanchardstown,66101,07,Burglary and related offences (07),Burglary and related offences,446
2006,DMR West Division,Blanchardstown,66101,08,Theft and related offences (08),Theft and related offences,1981
2006,DMR West Division,Blanchardstown,66101,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",112
2006,DMR West Division,Blanchardstown,66101,10,Controlled drug offences (10),Controlled drug offences,166
2006,DMR West Division,Blanchardstown,66101,11,Weapons and explosives offences (11),Weapons and explosives offences,82
2006,DMR West Division,Blanchardstown,66101,12,Damage to property and to the environment  offences (12),Damage to property & environment,1145
2006,DMR West Division,Blanchardstown,66101,13,Public order and other social code offences (13),Public order & social code offences,780
2006,DMR West Division,Blanchardstown,66101,14,Road and traffic offences (14),Road and traffic offences,2872
2006,DMR West Division,Blanchardstown,66101,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",102
2006,DMR West Division,Blanchardstown,66101,16,Offences not elsewhere classified (16),Offences not elsewhere classified,29
2006,DMR West Division,Cabra,66102,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",53
2006,DMR West Division,Cabra,66102,04,Dangerous or negligent acts (04),Dangerous or negligent acts,239
2006,DMR West Division,Cabra,66102,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2006,DMR West Division,Cabra,66102,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",19
2006,DMR West Division,Cabra,66102,07,Burglary and related offences (07),Burglary and related offences,80
2006,DMR West Division,Cabra,66102,08,Theft and related offences (08),Theft and related offences,327
2006,DMR West Division,Cabra,66102,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",11
2006,DMR West Division,Cabra,66102,10,Controlled drug offences (10),Controlled drug offences,68
2006,DMR West Division,Cabra,66102,11,Weapons and explosives offences (11),Weapons and explosives offences,24
2006,DMR West Division,Cabra,66102,12,Damage to property and to the environment  offences (12),Damage to property & environment,304
2006,DMR West Division,Cabra,66102,13,Public order and other social code offences (13),Public order & social code offences,169
2006,DMR West Division,Cabra,66102,14,Road and traffic offences (14),Road and traffic offences,601
2006,DMR West Division,Cabra,66102,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",23
2006,DMR West Division,Cabra,66102,16,Offences not elsewhere classified (16),Offences not elsewhere classified,10
2006,DMR West Division,Finglas,66103,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",100
2006,DMR West Division,Finglas,66103,04,Dangerous or negligent acts (04),Dangerous or negligent acts,558
2006,DMR West Division,Finglas,66103,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2006,DMR West Division,Finglas,66103,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",84
2006,DMR West Division,Finglas,66103,07,Burglary and related offences (07),Burglary and related offences,188
2006,DMR West Division,Finglas,66103,08,Theft and related offences (08),Theft and related offences,906
2006,DMR West Division,Finglas,66103,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",28
2006,DMR West Division,Finglas,66103,10,Controlled drug offences (10),Controlled drug offences,168
2006,DMR West Division,Finglas,66103,11,Weapons and explosives offences (11),Weapons and explosives offences,88
2006,DMR West Division,Finglas,66103,12,Damage to property and to the environment  offences (12),Damage to property & environment,694
2006,DMR West Division,Finglas,66103,13,Public order and other social code offences (13),Public order & social code offences,425
2006,DMR West Division,Finglas,66103,14,Road and traffic offences (14),Road and traffic offences,1977
2006,DMR West Division,Finglas,66103,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",51
2006,DMR West Division,Finglas,66103,16,Offences not elsewhere classified (16),Offences not elsewhere classified,8
2006,DMR West Division,Ballyfermot,66201,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",142
2006,DMR West Division,Ballyfermot,66201,04,Dangerous or negligent acts (04),Dangerous or negligent acts,1126
2006,DMR West Division,Ballyfermot,66201,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2006,DMR West Division,Ballyfermot,66201,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",38
2006,DMR West Division,Ballyfermot,66201,07,Burglary and related offences (07),Burglary and related offences,150
2006,DMR West Division,Ballyfermot,66201,08,Theft and related offences (08),Theft and related offences,566
2006,DMR West Division,Ballyfermot,66201,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",35
2006,DMR West Division,Ballyfermot,66201,10,Controlled drug offences (10),Controlled drug offences,189
2006,DMR West Division,Ballyfermot,66201,11,Weapons and explosives offences (11),Weapons and explosives offences,47
2006,DMR West Division,Ballyfermot,66201,12,Damage to property and to the environment  offences (12),Damage to property & environment,508
2006,DMR West Division,Ballyfermot,66201,13,Public order and other social code offences (13),Public order & social code offences,637
2006,DMR West Division,Ballyfermot,66201,14,Road and traffic offences (14),Road and traffic offences,1975
2006,DMR West Division,Ballyfermot,66201,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",88
2006,DMR West Division,Ballyfermot,66201,16,Offences not elsewhere classified (16),Offences not elsewhere classified,19
2006,DMR West Division,Clondalkin,66202,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",106
2006,DMR West Division,Clondalkin,66202,04,Dangerous or negligent acts (04),Dangerous or negligent acts,3515
2006,DMR West Division,Clondalkin,66202,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2006,DMR West Division,Clondalkin,66202,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",42
2006,DMR West Division,Clondalkin,66202,07,Burglary and related offences (07),Burglary and related offences,284
2006,DMR West Division,Clondalkin,66202,08,Theft and related offences (08),Theft and related offences,880
2006,DMR West Division,Clondalkin,66202,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",42
2006,DMR West Division,Clondalkin,66202,10,Controlled drug offences (10),Controlled drug offences,213
2006,DMR West Division,Clondalkin,66202,11,Weapons and explosives offences (11),Weapons and explosives offences,38
2006,DMR West Division,Clondalkin,66202,12,Damage to property and to the environment  offences (12),Damage to property & environment,575
2006,DMR West Division,Clondalkin,66202,13,Public order and other social code offences (13),Public order & social code offences,331
2006,DMR West Division,Clondalkin,66202,14,Road and traffic offences (14),Road and traffic offences,1920
2006,DMR West Division,Clondalkin,66202,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",143
2006,DMR West Division,Clondalkin,66202,16,Offences not elsewhere classified (16),Offences not elsewhere classified,21
2006,DMR West Division,Rathcoole,66203,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",17
2006,DMR West Division,Rathcoole,66203,04,Dangerous or negligent acts (04),Dangerous or negligent acts,574
2006,DMR West Division,Rathcoole,66203,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2006,DMR West Division,Rathcoole,66203,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",16
2006,DMR West Division,Rathcoole,66203,07,Burglary and related offences (07),Burglary and related offences,104
2006,DMR West Division,Rathcoole,66203,08,Theft and related offences (08),Theft and related offences,249
2006,DMR West Division,Rathcoole,66203,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",12
2006,DMR West Division,Rathcoole,66203,10,Controlled drug offences (10),Controlled drug offences,4
2006,DMR West Division,Rathcoole,66203,11,Weapons and explosives offences (11),Weapons and explosives offences,2
2006,DMR West Division,Rathcoole,66203,12,Damage to property and to the environment  offences (12),Damage to property & environment,98
2006,DMR West Division,Rathcoole,66203,13,Public order and other social code offences (13),Public order & social code offences,68
2006,DMR West Division,Rathcoole,66203,14,Road and traffic offences (14),Road and traffic offences,504
2006,DMR West Division,Rathcoole,66203,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",5
2006,DMR West Division,Rathcoole,66203,16,Offences not elsewhere classified (16),Offences not elsewhere classified,3
2006,DMR West Division,Lucan,66301,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",61
2006,DMR West Division,Lucan,66301,04,Dangerous or negligent acts (04),Dangerous or negligent acts,3622
2006,DMR West Division,Lucan,66301,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2006,DMR West Division,Lucan,66301,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",27
2006,DMR West Division,Lucan,66301,07,Burglary and related offences (07),Burglary and related offences,151
2006,DMR West Division,Lucan,66301,08,Theft and related offences (08),Theft and related offences,568
2006,DMR West Division,Lucan,66301,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",40
2006,DMR West Division,Lucan,66301,10,Controlled drug offences (10),Controlled drug offences,21
2006,DMR West Division,Lucan,66301,11,Weapons and explosives offences (11),Weapons and explosives offences,13
2006,DMR West Division,Lucan,66301,12,Damage to property and to the environment  offences (12),Damage to property & environment,322
2006,DMR West Division,Lucan,66301,13,Public order and other social code offences (13),Public order & social code offences,248
2006,DMR West Division,Lucan,66301,14,Road and traffic offences (14),Road and traffic offences,995
2006,DMR West Division,Lucan,66301,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",27
2006,DMR West Division,Lucan,66301,16,Offences not elsewhere classified (16),Offences not elsewhere classified,12
2006,DMR West Division,Ronanstown,66302,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",137
2006,DMR West Division,Ronanstown,66302,04,Dangerous or negligent acts (04),Dangerous or negligent acts,215
2006,DMR West Division,Ronanstown,66302,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2006,DMR West Division,Ronanstown,66302,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",24
2006,DMR West Division,Ronanstown,66302,07,Burglary and related offences (07),Burglary and related offences,180
2006,DMR West Division,Ronanstown,66302,08,Theft and related offences (08),Theft and related offences,978
2006,DMR West Division,Ronanstown,66302,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",29
2006,DMR West Division,Ronanstown,66302,10,Controlled drug offences (10),Controlled drug offences,169
2006,DMR West Division,Ronanstown,66302,11,Weapons and explosives offences (11),Weapons and explosives offences,62
2006,DMR West Division,Ronanstown,66302,12,Damage to property and to the environment  offences (12),Damage to property & environment,567
2006,DMR West Division,Ronanstown,66302,13,Public order and other social code offences (13),Public order & social code offences,312
2006,DMR West Division,Ronanstown,66302,14,Road and traffic offences (14),Road and traffic offences,1671
2006,DMR West Division,Ronanstown,66302,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",149
2006,DMR West Division,Ronanstown,66302,16,Offences not elsewhere classified (16),Offences not elsewhere classified,15
2007,DMR South Central Division,Donnybrook,61101,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",69
2007,DMR South Central Division,Donnybrook,61101,04,Dangerous or negligent acts (04),Dangerous or negligent acts,326
2007,DMR South Central Division,Donnybrook,61101,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2007,DMR South Central Division,Donnybrook,61101,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",14
2007,DMR South Central Division,Donnybrook,61101,07,Burglary and related offences (07),Burglary and related offences,241
2007,DMR South Central Division,Donnybrook,61101,08,Theft and related offences (08),Theft and related offences,712
2007,DMR South Central Division,Donnybrook,61101,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",64
2007,DMR South Central Division,Donnybrook,61101,10,Controlled drug offences (10),Controlled drug offences,76
2007,DMR South Central Division,Donnybrook,61101,11,Weapons and explosives offences (11),Weapons and explosives offences,14
2007,DMR South Central Division,Donnybrook,61101,12,Damage to property and to the environment  offences (12),Damage to property & environment,250
2007,DMR South Central Division,Donnybrook,61101,13,Public order and other social code offences (13),Public order & social code offences,312
2007,DMR South Central Division,Donnybrook,61101,14,Road and traffic offences (14),Road and traffic offences,3508
2007,DMR South Central Division,Donnybrook,61101,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",18
2007,DMR South Central Division,Donnybrook,61101,16,Offences not elsewhere classified (16),Offences not elsewhere classified,2
2007,DMR South Central Division,Irishtown,61102,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",42
2007,DMR South Central Division,Irishtown,61102,04,Dangerous or negligent acts (04),Dangerous or negligent acts,109
2007,DMR South Central Division,Irishtown,61102,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2007,DMR South Central Division,Irishtown,61102,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",21
2007,DMR South Central Division,Irishtown,61102,07,Burglary and related offences (07),Burglary and related offences,237
2007,DMR South Central Division,Irishtown,61102,08,Theft and related offences (08),Theft and related offences,443
2007,DMR South Central Division,Irishtown,61102,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",41
2007,DMR South Central Division,Irishtown,61102,10,Controlled drug offences (10),Controlled drug offences,109
2007,DMR South Central Division,Irishtown,61102,11,Weapons and explosives offences (11),Weapons and explosives offences,8
2007,DMR South Central Division,Irishtown,61102,12,Damage to property and to the environment  offences (12),Damage to property & environment,276
2007,DMR South Central Division,Irishtown,61102,13,Public order and other social code offences (13),Public order & social code offences,175
2007,DMR South Central Division,Irishtown,61102,14,Road and traffic offences (14),Road and traffic offences,965
2007,DMR South Central Division,Irishtown,61102,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",13
2007,DMR South Central Division,Irishtown,61102,16,Offences not elsewhere classified (16),Offences not elsewhere classified,15
2007,DMR South Central Division,Pearse Street,61202,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",538
2007,DMR South Central Division,Pearse Street,61202,04,Dangerous or negligent acts (04),Dangerous or negligent acts,422
2007,DMR South Central Division,Pearse Street,61202,05,Kidnapping and related offences (05),Kidnapping and related offences,4
2007,DMR South Central Division,Pearse Street,61202,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",145
2007,DMR South Central Division,Pearse Street,61202,07,Burglary and related offences (07),Burglary and related offences,590
2007,DMR South Central Division,Pearse Street,61202,08,Theft and related offences (08),Theft and related offences,3994
2007,DMR South Central Division,Pearse Street,61202,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",469
2007,DMR South Central Division,Pearse Street,61202,10,Controlled drug offences (10),Controlled drug offences,452
2007,DMR South Central Division,Pearse Street,61202,11,Weapons and explosives offences (11),Weapons and explosives offences,93
2007,DMR South Central Division,Pearse Street,61202,12,Damage to property and to the environment  offences (12),Damage to property & environment,609
2007,DMR South Central Division,Pearse Street,61202,13,Public order and other social code offences (13),Public order & social code offences,2566
2007,DMR South Central Division,Pearse Street,61202,14,Road and traffic offences (14),Road and traffic offences,4120
2007,DMR South Central Division,Pearse Street,61202,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",99
2007,DMR South Central Division,Pearse Street,61202,16,Offences not elsewhere classified (16),Offences not elsewhere classified,45
2007,DMR South Central Division,Kevin Street,61301,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",172
2007,DMR South Central Division,Kevin Street,61301,04,Dangerous or negligent acts (04),Dangerous or negligent acts,395
2007,DMR South Central Division,Kevin Street,61301,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2007,DMR South Central Division,Kevin Street,61301,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",69
2007,DMR South Central Division,Kevin Street,61301,07,Burglary and related offences (07),Burglary and related offences,366
2007,DMR South Central Division,Kevin Street,61301,08,Theft and related offences (08),Theft and related offences,1016
2007,DMR South Central Division,Kevin Street,61301,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",51
2007,DMR South Central Division,Kevin Street,61301,10,Controlled drug offences (10),Controlled drug offences,698
2007,DMR South Central Division,Kevin Street,61301,11,Weapons and explosives offences (11),Weapons and explosives offences,80
2007,DMR South Central Division,Kevin Street,61301,12,Damage to property and to the environment  offences (12),Damage to property & environment,534
2007,DMR South Central Division,Kevin Street,61301,13,Public order and other social code offences (13),Public order & social code offences,854
2007,DMR South Central Division,Kevin Street,61301,14,Road and traffic offences (14),Road and traffic offences,2500
2007,DMR South Central Division,Kevin Street,61301,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",110
2007,DMR South Central Division,Kevin Street,61301,16,Offences not elsewhere classified (16),Offences not elsewhere classified,18
2007,DMR South Central Division,Kilmainham,61302,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",100
2007,DMR South Central Division,Kilmainham,61302,04,Dangerous or negligent acts (04),Dangerous or negligent acts,643
2007,DMR South Central Division,Kilmainham,61302,05,Kidnapping and related offences (05),Kidnapping and related offences,2
2007,DMR South Central Division,Kilmainham,61302,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",72
2007,DMR South Central Division,Kilmainham,61302,07,Burglary and related offences (07),Burglary and related offences,244
2007,DMR South Central Division,Kilmainham,61302,08,Theft and related offences (08),Theft and related offences,673
2007,DMR South Central Division,Kilmainham,61302,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",42
2007,DMR South Central Division,Kilmainham,61302,10,Controlled drug offences (10),Controlled drug offences,142
2007,DMR South Central Division,Kilmainham,61302,11,Weapons and explosives offences (11),Weapons and explosives offences,54
2007,DMR South Central Division,Kilmainham,61302,12,Damage to property and to the environment  offences (12),Damage to property & environment,419
2007,DMR South Central Division,Kilmainham,61302,13,Public order and other social code offences (13),Public order & social code offences,528
2007,DMR South Central Division,Kilmainham,61302,14,Road and traffic offences (14),Road and traffic offences,1620
2007,DMR South Central Division,Kilmainham,61302,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",664
2007,DMR South Central Division,Kilmainham,61302,16,Offences not elsewhere classified (16),Offences not elsewhere classified,10
2007,DMR North Central Division,Bridewell Dublin,62101,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",145
2007,DMR North Central Division,Bridewell Dublin,62101,04,Dangerous or negligent acts (04),Dangerous or negligent acts,468
2007,DMR North Central Division,Bridewell Dublin,62101,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2007,DMR North Central Division,Bridewell Dublin,62101,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",42
2007,DMR North Central Division,Bridewell Dublin,62101,07,Burglary and related offences (07),Burglary and related offences,244
2007,DMR North Central Division,Bridewell Dublin,62101,08,Theft and related offences (08),Theft and related offences,983
2007,DMR North Central Division,Bridewell Dublin,62101,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",71
2007,DMR North Central Division,Bridewell Dublin,62101,10,Controlled drug offences (10),Controlled drug offences,385
2007,DMR North Central Division,Bridewell Dublin,62101,11,Weapons and explosives offences (11),Weapons and explosives offences,116
2007,DMR North Central Division,Bridewell Dublin,62101,12,Damage to property and to the environment  offences (12),Damage to property & environment,667
2007,DMR North Central Division,Bridewell Dublin,62101,13,Public order and other social code offences (13),Public order & social code offences,564
2007,DMR North Central Division,Bridewell Dublin,62101,14,Road and traffic offences (14),Road and traffic offences,2196
2007,DMR North Central Division,Bridewell Dublin,62101,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",3453
2007,DMR North Central Division,Bridewell Dublin,62101,16,Offences not elsewhere classified (16),Offences not elsewhere classified,27
2007,DMR North Central Division,Fitzgibbon Street,62202,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",136
2007,DMR North Central Division,Fitzgibbon Street,62202,04,Dangerous or negligent acts (04),Dangerous or negligent acts,186
2007,DMR North Central Division,Fitzgibbon Street,62202,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2007,DMR North Central Division,Fitzgibbon Street,62202,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",52
2007,DMR North Central Division,Fitzgibbon Street,62202,07,Burglary and related offences (07),Burglary and related offences,218
2007,DMR North Central Division,Fitzgibbon Street,62202,08,Theft and related offences (08),Theft and related offences,723
2007,DMR North Central Division,Fitzgibbon Street,62202,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",45
2007,DMR North Central Division,Fitzgibbon Street,62202,10,Controlled drug offences (10),Controlled drug offences,126
2007,DMR North Central Division,Fitzgibbon Street,62202,11,Weapons and explosives offences (11),Weapons and explosives offences,50
2007,DMR North Central Division,Fitzgibbon Street,62202,12,Damage to property and to the environment  offences (12),Damage to property & environment,361
2007,DMR North Central Division,Fitzgibbon Street,62202,13,Public order and other social code offences (13),Public order & social code offences,420
2007,DMR North Central Division,Fitzgibbon Street,62202,14,Road and traffic offences (14),Road and traffic offences,1597
2007,DMR North Central Division,Fitzgibbon Street,62202,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",60
2007,DMR North Central Division,Fitzgibbon Street,62202,16,Offences not elsewhere classified (16),Offences not elsewhere classified,15
2007,DMR North Central Division,Mountjoy,62203,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",151
2007,DMR North Central Division,Mountjoy,62203,04,Dangerous or negligent acts (04),Dangerous or negligent acts,295
2007,DMR North Central Division,Mountjoy,62203,05,Kidnapping and related offences (05),Kidnapping and related offences,2
2007,DMR North Central Division,Mountjoy,62203,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",47
2007,DMR North Central Division,Mountjoy,62203,07,Burglary and related offences (07),Burglary and related offences,292
2007,DMR North Central Division,Mountjoy,62203,08,Theft and related offences (08),Theft and related offences,694
2007,DMR North Central Division,Mountjoy,62203,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",57
2007,DMR North Central Division,Mountjoy,62203,10,Controlled drug offences (10),Controlled drug offences,152
2007,DMR North Central Division,Mountjoy,62203,11,Weapons and explosives offences (11),Weapons and explosives offences,32
2007,DMR North Central Division,Mountjoy,62203,12,Damage to property and to the environment  offences (12),Damage to property & environment,348
2007,DMR North Central Division,Mountjoy,62203,13,Public order and other social code offences (13),Public order & social code offences,439
2007,DMR North Central Division,Mountjoy,62203,14,Road and traffic offences (14),Road and traffic offences,1711
2007,DMR North Central Division,Mountjoy,62203,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",110
2007,DMR North Central Division,Mountjoy,62203,16,Offences not elsewhere classified (16),Offences not elsewhere classified,15
2007,DMR North Central Division,Store Street,62301,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",290
2007,DMR North Central Division,Store Street,62301,04,Dangerous or negligent acts (04),Dangerous or negligent acts,578
2007,DMR North Central Division,Store Street,62301,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2007,DMR North Central Division,Store Street,62301,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",84
2007,DMR North Central Division,Store Street,62301,07,Burglary and related offences (07),Burglary and related offences,314
2007,DMR North Central Division,Store Street,62301,08,Theft and related offences (08),Theft and related offences,4363
2007,DMR North Central Division,Store Street,62301,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",243
2007,DMR North Central Division,Store Street,62301,10,Controlled drug offences (10),Controlled drug offences,318
2007,DMR North Central Division,Store Street,62301,11,Weapons and explosives offences (11),Weapons and explosives offences,131
2007,DMR North Central Division,Store Street,62301,12,Damage to property and to the environment  offences (12),Damage to property & environment,566
2007,DMR North Central Division,Store Street,62301,13,Public order and other social code offences (13),Public order & social code offences,1849
2007,DMR North Central Division,Store Street,62301,14,Road and traffic offences (14),Road and traffic offences,4319
2007,DMR North Central Division,Store Street,62301,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",256
2007,DMR North Central Division,Store Street,62301,16,Offences not elsewhere classified (16),Offences not elsewhere classified,56
2007,DMR North Division,Balbriggan,63101,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",75
2007,DMR North Division,Balbriggan,63101,04,Dangerous or negligent acts (04),Dangerous or negligent acts,282
2007,DMR North Division,Balbriggan,63101,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2007,DMR North Division,Balbriggan,63101,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",8
2007,DMR North Division,Balbriggan,63101,07,Burglary and related offences (07),Burglary and related offences,165
2007,DMR North Division,Balbriggan,63101,08,Theft and related offences (08),Theft and related offences,281
2007,DMR North Division,Balbriggan,63101,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",51
2007,DMR North Division,Balbriggan,63101,10,Controlled drug offences (10),Controlled drug offences,49
2007,DMR North Division,Balbriggan,63101,11,Weapons and explosives offences (11),Weapons and explosives offences,9
2007,DMR North Division,Balbriggan,63101,12,Damage to property and to the environment  offences (12),Damage to property & environment,129
2007,DMR North Division,Balbriggan,63101,13,Public order and other social code offences (13),Public order & social code offences,284
2007,DMR North Division,Balbriggan,63101,14,Road and traffic offences (14),Road and traffic offences,534
2007,DMR North Division,Balbriggan,63101,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",38
2007,DMR North Division,Balbriggan,63101,16,Offences not elsewhere classified (16),Offences not elsewhere classified,7
2007,DMR North Division,Garristown,63102,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",2
2007,DMR North Division,Garristown,63102,04,Dangerous or negligent acts (04),Dangerous or negligent acts,4
2007,DMR North Division,Garristown,63102,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2007,DMR North Division,Garristown,63102,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",0
2007,DMR North Division,Garristown,63102,07,Burglary and related offences (07),Burglary and related offences,12
2007,DMR North Division,Garristown,63102,08,Theft and related offences (08),Theft and related offences,23
2007,DMR North Division,Garristown,63102,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",0
2007,DMR North Division,Garristown,63102,10,Controlled drug offences (10),Controlled drug offences,1
